,Ageneotettix deorum,Arphia sulfurea,Campylacantha olivacea olivacea,Eritettix simplex,Hesperotettix speciosus,Hesperotettix viridis,Hippiscus rugosus,Hypochlora alba,Melanoplus bivittatus,Melanoplus confusus,Melanoplus femurrubrum,Melanoplus keeleri,Melanoplus sanguinipes,Melanoplus scudderi,Opeia obscura,Orphulella speciosa,Pardalophora haldemanii,Phoetaliotes nebrascensis,Syrbula admirabilis
Achillea millefolium lanulosa,0,0,0,0,0,1,0,1,2,9,14,4,1,3,0,0,0,0,0
Ambrosia psilostachya,4,0,93,0,49,42,0,4,24,54,31,22,22,3,2,0,1,1,0
Amorpha canescens,0,0,0,0,0,0,2,2,1,9,2,6,1,0,0,0,0,0,0
Amorpha fruticosa,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Andropogon gerardi,0.5,2,0,2,0,0,5,0,0,0,1,0,0,0,0,11,0.5,28,11
Andropogon scoparius,12,0,0,2,0,0,13,0,0,0,1,0,0,0,5,12,2,31,13
Anemone canadensis,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
Artemisia ludoviciana,3,0,8,0,0,11,0,91,5,33,5,22,21,1,4,0,1,0.5,0
Aster ericoides,2,0.5,1,0,0,2,0,0,2,3,2,5,0,14,0,0,0,0,0
Astragalus caryocarpus,1,0,0,0,0,1,0,0,2,3,1,6,6,14,0,0,0,0,0
Astragalus missouriensis,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
Baptisia leucophaea,0,0,0,0,0,1,0,1,5,0,2,5,1,1,0,0,1,0,0
Bouteloua curtipendula,1,0,0,13,0,0,0,0,1,0,0,0,0,0,2,14,0,2,1
Bouteloua gracilis,41,2,0,53,0,0,1,0.5,0.5,0,0.5,1,22,1,92,16,3,1,27
Bouteloua hirsuta,14,0,0,1,0,0,3,0,0,0,0,0,0,0,3,1,1,1,3
Bromus japonicus,2,14,0,2,0,0,28,0,3,21,3,1,1,0,0,4,2,7,1
Bromus tectorum,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
Buchloe dactyloides,4,0.5,0,4,0,0,0.5,1,0,0,0,0,0,0,2,3,2,0,6
Carex sp.,5,1,0,1,0,0,0,0,0.5,0,1,0,0,1,2,1,0,1,0
Ceanthus ovatus,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cirsium undulatum,0,0,0,0,0,0,0,0,0,0.5,1,1,1,0,0,0,0,0,0
Erigeron strigosus,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Fragaria virginiana,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Hordeum jubatum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.5,0,0,0
Koeleria cristata,0.5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0.5,1,1
Kuhnia eupatorioides,0,0,0,0,0,0,0,0,0,0,0,0.5,0,3,0,0,0,0,0
Lepidium densiflorum,0,0,0,1,0,0,0,0,0,0,0.5,1,1,0,0,0,0,0,0
Lespedeza capitata,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Linum sulcatum,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Lithospermum incisum,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0
Oxalis stricta,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0
Panicum scribnerianum,3,1,0,0,3,0,0,0,0,0,0,0,0,1,0,2,0.5,2,3
Panicum virgatum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0
Plantago purshii,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0
Poa pratensis,24,73,0,7,0,0.5,26,0,55,21,23,1,35,4,0,27,57,16,4
Reullia ciliosa,0,0,1,0,0,0,0,0,1,5,0,0,1,0,0,0,0,0,0
Rosa arkansana,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0
Ruellia ciliosa,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Salvia azurea,0,0,0,0,0,0,0,0,0,0,1,2,0,4,0,0,0,0,0
Schrankia nuttallii,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Solidago graminifolia,0,0,0,0,0,7,0,0,0,0,0,1,0,1,0,0,0,0,0
Solidago missouriensis,0,0,8,0,41,1,0,0,2,5,5,16,1,33,0,0,0,0,0
Sorghastrum nutans,0,3,0,4,0,0,2,0,0,0,0,0,0,0,0,5,2,4,15
Sporobolus asper,0,3,0,8,0,0,0,0,0,0,0,0,0,0,2,5,2,8,11
Sporobolus heterolepis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Verbena stricta,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Vernonia baldwini,0,0,1,0,0,0,0,0,5,3,2,1,0,0,0,0,0,0,0
